#bin	chrom	chromStart	chromEnd	name
23	chr1	122503247	124785432	GJ212202.1
189	chr1	122026459	122224535	GJ211836.1
189	chr1	122224635	122503147	GJ211837.1
192	chr1	124849229	124932724	GJ211857.1
1537	chr1	124785532	124849129	GJ211855.1
2	chr2	92188145	94090557	GJ211860.1
2	chr3	91553419	93655574	GJ211871.1
19	chr3	90772458	91233586	GJ211866.1
1281	chr3	91233686	91247622	GJ211867.1
1	chr4	49712061	51743951	GJ211881.1
14	chr5	47153439	47296069	GJ211887.1
14	chr5	47309184	49591369	GJ212203.1
117	chr5	46485900	46569062	GJ211882.1
117	chr5	46569162	46796725	GJ211883.1
117	chr5	46796825	47061288	GJ211884.1
120	chr5	49667531	49721203	GJ211904.2
120	chr5	49721303	50059807	GJ211906.2
944	chr5	47106994	47153339	GJ211886.1
1	chr6	58553888	59829934	GJ211907.1
1	chr7	58169653	60828234	GJ211908.1
131	chr7	61377788	61528020	GJ212194.1
14	chr8	44033744	45877265	GJ211909.1
14	chr9	43389635	45518558	GJ211929.1
1	chrX	58605579	62412542	GJ212192.1
10	chrY	10316944	10544039	GJ212193.1
13	chr10	39686682	39935900	GJ211930.1
13	chr10	39936000	41497440	GJ211932.1
112	chr10	41545820	41593521	GJ211936.1
901	chr10	41497540	41545720	GJ211933.1
15	chr11	51090417	54342399	GJ211943.1
124	chr11	54342499	54425074	GJ211948.1
974	chr11	51078348	51090317	GJ211938.1
13	chr12	34835295	37185252	GJ211954.1
850	chr12	34769407	34816611	GJ211949.1
1	chr13	16282173	17416384	GJ211972.2
11	chr13	17418662	18051248	GJ211991.2
88	chr13	16110759	16164892	GJ211962.2
88	chr13	16249397	16256067	GJ211967.2
707	chr13	16000000	16022537	GJ211955.2
707	chr13	16022637	16110659	GJ211961.2
708	chr13	16164992	16228527	GJ211963.2
708	chr13	16228627	16249297	GJ211965.2
709	chr13	16256167	16259412	GJ211968.2
709	chr13	16259512	16282073	GJ211969.2
717	chr13	17416484	17416824	GJ212205.1
717	chr13	17416924	17417264	GJ212206.1
717	chr13	17417364	17418562	GJ211986.2
1	chr14	16404448	17538659	GJ212009.2
11	chr14	17540937	18173523	GJ212028.2
88	chr14	16228749	16282882	GJ211999.2
88	chr14	16377502	16400063	GJ212006.2
707	chr14	16000000	16022537	GJ211992.2
708	chr14	16140627	16228649	GJ211998.2
709	chr14	16282982	16346517	GJ212000.2
709	chr14	16346617	16367287	GJ212002.2
709	chr14	16367387	16374057	GJ212004.2
709	chr14	16374157	16377402	GJ212005.2
718	chr14	17538759	17539099	GJ212210.1
718	chr14	17539199	17539539	GJ212211.1
718	chr14	17539639	17540837	GJ212023.2
11	chr15	17499051	18355008	GJ212042.1
11	chr15	18355108	19725254	GJ212045.1
89	chr15	17083673	17498951	GJ212036.1
13	chr16	36337666	38265669	GJ212051.1
862	chr16	36311158	36334460	GJ212046.1
1	chr17	23195018	26566633	GJ212054.1
11	chr17	22813679	23194918	GJ212053.1
98	chr17	26566733	26616164	GJ212055.1
1	chr18	15797855	20561439	GJ212062.1
10	chr18	15460899	15780377	GJ212060.1
92	chr18	20696389	20736025	GJ212067.1
92	chr18	20839797	20861206	GJ212071.1
742	chr18	20603247	20696289	GJ212066.1
743	chr18	20736125	20813083	GJ212069.1
1	chr19	24908689	27190874	GJ212201.1
96	chr19	24498980	24552652	GJ212072.2
96	chr19	24552752	24891256	GJ212077.2
12	chr20	26608145	28494539	GJ212093.1
98	chr20	26436232	26586955	GJ212091.1
100	chr20	28648108	28728874	GJ212105.1
101	chr20	29917404	30038348	GJ212117.1
802	chr20	28508997	28556953	GJ212095.1
807	chr20	29125793	29204668	GJ212107.1
10	chr21	11146733	12280944	GJ212135.2
10	chr21	12283222	12915808	GJ212154.2
83	chr21	10864560	10887097	GJ212118.2
83	chr21	10975319	11029452	GJ212125.2
83	chr21	11124072	11146633	GJ212132.2
668	chr21	10887197	10975219	GJ212124.2
669	chr21	11029552	11093087	GJ212126.2
669	chr21	11093187	11113857	GJ212128.2
669	chr21	11113957	11120627	GJ212130.2
669	chr21	11120727	11123972	GJ212131.2
678	chr21	12281044	12281384	GJ212204.1
678	chr21	12281484	12281824	GJ212207.1
678	chr21	12281924	12283122	GJ212149.2
10	chr22	13285243	14419454	GJ212172.2
10	chr22	14421732	15054318	GJ212191.2
85	chr22	12954788	12977325	GJ212155.2
85	chr22	13021422	13109444	GJ212161.2
85	chr22	13227412	13248082	GJ212165.2
685	chr22	13109544	13163677	GJ212162.2
685	chr22	13163777	13227312	GJ212163.2
686	chr22	13248182	13254852	GJ212167.2
686	chr22	13254952	13258197	GJ212168.2
686	chr22	13258297	13280858	GJ212169.2
695	chr22	14419554	14419894	GJ212208.1
695	chr22	14419994	14420334	GJ212209.1
695	chr22	14420434	14421632	GJ212186.2
